                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.8781,                0.94078,                 1.1044,                0.62185,                0.93476,                0.70162,                0.40695,                 1.3967,                0.95847,                 1.3401,               0.005248,               0.005248,               0.005248
                     50,                0.92105,                 0.9376,                 1.1398,                0.64857,                0.94112,                0.70023,                0.39955,                  1.396,                0.97409,                 1.3445,               0.005149,               0.005149,               0.005149
                     51,                0.88164,                0.89568,                 1.1113,                0.63463,                0.90131,                0.70334,                0.38268,                 1.5178,                 1.0431,                 1.4609,                0.00505,                0.00505,                0.00505
                     52,                0.88128,                0.88517,                 1.1012,                0.62524,                0.89312,                0.70078,                 0.4076,                 1.4664,                 1.0893,                 1.4366,               0.004951,               0.004951,               0.004951
                     53,                0.87061,                0.87824,                 1.1132,                0.63151,                0.88421,                0.68803,                0.43548,                  1.315,                 1.0039,                 1.3288,               0.004852,               0.004852,               0.004852
                     54,                0.85866,                0.87663,                 1.0981,                0.63547,                0.88829,                0.70265,                0.43488,                 1.3512,                0.98162,                 1.3526,               0.004753,               0.004753,               0.004753
                     55,                0.86286,                0.91269,                 1.1033,                0.61164,                0.87983,                0.69179,                0.39208,                 1.5379,                 1.0012,                 1.4952,               0.004654,               0.004654,               0.004654
                     56,                0.85171,                0.89045,                  1.091,                0.62658,                0.93327,                0.70674,                0.39271,                 1.5112,                 1.0186,                 1.4788,               0.004555,               0.004555,               0.004555
                     57,                0.84808,                0.88305,                 1.1038,                0.60242,                0.93418,                0.71795,                0.40477,                   1.49,                0.95971,                 1.4671,               0.004456,               0.004456,               0.004456
                     58,                0.85086,                0.86024,                 1.1091,                 0.6418,                0.92638,                0.73906,                0.45678,                 1.3051,                0.94025,                 1.3379,               0.004357,               0.004357,               0.004357
                     59,                0.82765,                0.86225,                 1.0874,                0.63445,                0.93025,                0.73871,                0.46615,                 1.2613,                0.94087,                 1.3001,               0.004258,               0.004258,               0.004258
                     60,                0.81785,                0.90429,                 1.0867,                  0.632,                 0.9205,                0.74362,                0.44358,                 1.3511,                 0.9561,                 1.3731,               0.004159,               0.004159,               0.004159
                     61,                0.80026,                0.84661,                  1.072,                0.60828,                 0.9061,                0.71675,                0.38136,                 1.5638,                   1.08,                 1.5131,                0.00406,                0.00406,                0.00406
                     62,                 0.7965,                0.85532,                 1.0682,                0.60507,                0.89372,                0.67373,                0.37505,                 1.4587,                 1.0053,                 1.4447,               0.003961,               0.003961,               0.003961
                     63,                0.79682,                0.84053,                 1.0731,                0.61403,                0.87774,                0.73006,                0.41061,                 1.3991,                0.98656,                 1.4093,               0.003862,               0.003862,               0.003862
                     64,                0.78877,                0.82239,                 1.0614,                0.62409,                0.89764,                 0.7086,                0.39623,                 1.4458,                0.98025,                 1.4386,               0.003763,               0.003763,               0.003763
                     65,                0.79578,                0.88179,                 1.0603,                0.59762,                0.88527,                 0.6863,                 0.3773,                 1.5579,                0.99781,                 1.5342,               0.003664,               0.003664,               0.003664
                     66,                0.78011,                0.85492,                 1.0724,                0.61729,                 0.8753,                0.74059,                0.41923,                 1.4987,                 1.0051,                  1.478,               0.003565,               0.003565,               0.003565
                     67,                0.78226,                0.84984,                 1.0641,                0.61568,                0.91726,                0.75277,                0.42502,                  1.477,                0.95014,                 1.4765,               0.003466,               0.003466,               0.003466
                     68,                0.77382,                0.86522,                 1.0682,                0.63492,                0.94518,                0.76926,                0.44763,                 1.3566,                  0.894,                 1.4016,               0.003367,               0.003367,               0.003367
                     69,                0.75145,                0.81012,                 1.0426,                0.62867,                0.94022,                0.74981,                0.42825,                 1.4501,                0.98592,                 1.4663,               0.003268,               0.003268,               0.003268
                     70,                0.75885,                0.80469,                 1.0511,                0.61801,                0.92391,                0.74517,                0.45449,                 1.3593,                0.99395,                 1.4184,               0.003169,               0.003169,               0.003169
                     71,                0.77046,                0.82221,                 1.0694,                0.61885,                0.89576,                0.76259,                0.43901,                 1.4207,                0.96022,                 1.4493,                0.00307,                0.00307,                0.00307
                     72,                0.73794,                0.82135,                 1.0409,                 0.6121,                0.90308,                0.75458,                  0.405,                 1.5474,                 1.0346,                 1.5372,               0.002971,               0.002971,               0.002971
                     73,                0.71932,                0.81159,                 1.0278,                0.62339,                0.89659,                0.75345,                0.42049,                 1.4367,                 1.0046,                 1.4423,               0.002872,               0.002872,               0.002872
                     74,                0.73241,                0.82204,                 1.0298,                0.62298,                0.90215,                 0.7484,                0.43103,                 1.3969,                0.97261,                 1.4285,               0.002773,               0.002773,               0.002773
                     75,                 0.7163,                0.79147,                 1.0404,                0.59587,                0.88225,                0.73411,                0.38244,                 1.5065,                 1.0129,                 1.5591,               0.002674,               0.002674,               0.002674
                     76,                0.71309,                0.77626,                   1.03,                0.59859,                0.85356,                0.73522,                 0.3972,                 1.4601,                 1.1082,                 1.5231,               0.002575,               0.002575,               0.002575
                     77,                0.69578,                0.77889,                 1.0238,                0.60753,                0.87493,                 0.7452,                0.42036,                  1.434,                0.96937,                  1.489,               0.002476,               0.002476,               0.002476
                     78,                0.70644,                0.80812,                 1.0344,                0.61078,                0.91177,                0.77414,                0.43532,                 1.3407,                 1.0517,                 1.4431,               0.002377,               0.002377,               0.002377
                     79,                0.67859,                 0.7447,                 1.0176,                0.59209,                0.90421,                0.73759,                0.40099,                 1.4214,                  1.064,                 1.5215,               0.002278,               0.002278,               0.002278
                     80,                0.69182,                0.77588,                   1.02,                0.61222,                0.86413,                   0.74,                0.40905,                 1.4391,                 1.0342,                 1.5172,               0.002179,               0.002179,               0.002179
                     81,                 0.6789,                0.75076,                 1.0142,                0.61315,                0.89132,                0.74942,                0.41441,                  1.434,                 1.0305,                 1.5023,                0.00208,                0.00208,                0.00208
                     82,                0.67968,                0.76889,                 1.0105,                0.62579,                0.87598,                0.76021,                0.41292,                 1.4894,                0.98855,                 1.5462,               0.001981,               0.001981,               0.001981
